_id,Año,Entidad,Población,Sexo,Edad,Cantidad,Totales,Porcentaje,Tasa
1,2020,NACIONAL,Población total,Total,0 a 17 años,38247958,126014024,0.30352144,
2,2020,AGUASCALIENTES,Población total,Total,0 a 17 años,463335,1425607,0.325008926,
3,2020,BAJA CALIFORNIA,Población total,Total,0 a 17 años,1061893,3769020,0.281742469,
4,2020,BAJA CALIFORNIA SUR,Población total,Total,0 a 17 años,236629,798447,0.296361562,
5,2020,CAMPECHE,Población total,Total,0 a 17 años,286880,928363,0.309017055,
6,2020,COAHUILA,Población total,Total,0 a 17 años,982841,3146771,0.312333182,
7,2020,COLIMA,Población total,Total,0 a 17 años,209402,731391,0.286306504,
8,2020,CHIAPAS,Población total,Total,0 a 17 años,2093426,5543828,0.377613808,
9,2020,CHIHUAHUA,Población total,Total,0 a 17 años,1137537,3741869,0.304002358,
10,2020,CIUDAD DE MÉXICO,Población total,Total,0 a 17 años,2033581,9209944,0.220802754,
11,2020,DURANGO,Población total,Total,0 a 17 años,612346,1832650,0.334131449,
12,2020,GUANAJUATO,Población total,Total,0 a 17 años,1965943,6166934,0.318787748,
13,2020,GUERRERO,Población total,Total,0 a 17 años,1237843,3540685,0.349605514,
14,2020,HIDALGO,Población total,Total,0 a 17 años,958875,3082841,0.311036151,
15,2020,JALISCO,Población total,Total,0 a 17 años,2531145,8348151,0.303198277,
16,2020,MÉXICO,Población total,Total,0 a 17 años,5009259,16992418,0.294793772,
17,2020,MICHOACÁN,Población total,Total,0 a 17 años,1544594,4748846,0.325256704,
18,2020,MORELOS,Población total,Total,0 a 17 años,568743,1971520,0.288479447,
19,2020,NAYARIT,Población total,Total,0 a 17 años,394457,1235456,0.319280492,
20,2020,NUEVO LEÓN,Población total,Total,0 a 17 años,1654929,5784442,0.286100025,
21,2020,OAXACA,Población total,Total,0 a 17 años,1372915,4132148,0.332252136,
22,2020,PUEBLA,Población total,Total,0 a 17 años,2148335,6583278,0.32633211,
23,2020,QUERÉTARO,Población total,Total,0 a 17 años,700525,2368467,0.295771484,
24,2020,QUINTANA ROO,Población total,Total,0 a 17 años,543728,1857985,0.292643913,
25,2020,SAN LUIS POTOSÍ,Población total,Total,0 a 17 años,879923,2822255,0.311780119,
26,2020,SINALOA,Población total,Total,0 a 17 años,902580,3026943,0.298182027,
27,2020,SONORA,Población total,Total,0 a 17 años,876174,2944840,0.297528558,
28,2020,TABASCO,Población total,Total,0 a 17 años,781519,2402598,0.3252808,
29,2020,TAMAULIPAS,Población total,Total,0 a 17 años,1046920,3527735,0.296768323,
30,2020,TLAXCALA,Población total,Total,0 a 17 años,421140,1342977,0.313586904,
31,2020,VERACRUZ,Población total,Total,0 a 17 años,2378935,8062579,0.295058814,
32,2020,YUCATÁN,Población total,Total,0 a 17 años,666922,2320898,0.287355153,
33,2020,ZACATECAS,Población total,Total,0 a 17 años,544684,1622138,0.335781543,
34,2020,NACIONAL,Población total,Total,0 a 4 años,10047365,38247958,0.262690233,
35,2020,AGUASCALIENTES,Población total,Total,0 a 4 años,124430,463335,0.268552991,
36,2020,BAJA CALIFORNIA,Población total,Total,0 a 4 años,266301,1061893,0.250779504,
37,2020,BAJA CALIFORNIA SUR,Población total,Total,0 a 4 años,62455,236629,0.263936373,
38,2020,CAMPECHE,Población total,Total,0 a 4 años,78935,286880,0.275149888,
39,2020,COAHUILA,Población total,Total,0 a 4 años,279912,982841,0.284798864,
40,2020,COLIMA,Población total,Total,0 a 4 años,52313,209402,0.249820919,
41,2020,CHIAPAS,Población total,Total,0 a 4 años,574152,2093426,0.274264292,
42,2020,CHIHUAHUA,Población total,Total,0 a 4 años,291286,1137537,0.256067275,
43,2020,CIUDAD DE MÉXICO,Población total,Total,0 a 4 años,479904,2033581,0.235989616,
44,2020,DURANGO,Población total,Total,0 a 4 años,167600,612346,0.273701469,
45,2020,GUANAJUATO,Población total,Total,0 a 4 años,538846,1965943,0.274090347,
46,2020,GUERRERO,Población total,Total,0 a 4 años,335458,1237843,0.271002058,
47,2020,HIDALGO,Población total,Total,0 a 4 años,238189,958875,0.248404641,
48,2020,JALISCO,Población total,Total,0 a 4 años,670983,2531145,0.2650907,
49,2020,MÉXICO,Población total,Total,0 a 4 años,1276386,5009259,0.254805351,
50,2020,MICHOACÁN,Población total,Total,0 a 4 años,429837,1544594,0.278284779,
51,2020,MORELOS,Población total,Total,0 a 4 años,145439,568743,0.25572007,
52,2020,NAYARIT,Población total,Total,0 a 4 años,103601,394457,0.262642062,
53,2020,NUEVO LEÓN,Población total,Total,0 a 4 años,454909,1654929,0.274881279,
54,2020,OAXACA,Población total,Total,0 a 4 años,359853,1372915,0.262108725,
55,2020,PUEBLA,Población total,Total,0 a 4 años,578779,2148335,0.26940817,
56,2020,QUERÉTARO,Población total,Total,0 a 4 años,187893,700525,0.268217408,
57,2020,QUINTANA ROO,Población total,Total,0 a 4 años,147731,543728,0.271700188,
58,2020,SAN LUIS POTOSÍ,Población total,Total,0 a 4 años,230931,879923,0.262444555,
59,2020,SINALOA,Población total,Total,0 a 4 años,236236,902580,0.26173414,
60,2020,SONORA,Población total,Total,0 a 4 años,218345,876174,0.249202784,
61,2020,TABASCO,Población total,Total,0 a 4 años,206877,781519,0.264711415,
62,2020,TAMAULIPAS,Población total,Total,0 a 4 años,271340,1046920,0.259179307,
63,2020,TLAXCALA,Población total,Total,0 a 4 años,110460,421140,0.262288075,
64,2020,VERACRUZ,Población total,Total,0 a 4 años,600253,2378935,0.252320051,
65,2020,YUCATÁN,Población total,Total,0 a 4 años,175986,666922,0.263877935,
66,2020,ZACATECAS,Población total,Total,0 a 4 años,151745,544684,0.278592725,
67,2020,NACIONAL,Población total,Total,5 a 9 años,10764379,38247958,0.281436698,
68,2020,AGUASCALIENTES,Población total,Total,5 a 9 años,131048,463335,0.282836393,
69,2020,BAJA CALIFORNIA,Población total,Total,5 a 9 años,299654,1061893,0.282188507,
70,2020,BAJA CALIFORNIA SUR,Población total,Total,5 a 9 años,66933,236629,0.282860512,
71,2020,CAMPECHE,Población total,Total,5 a 9 años,82015,286880,0.285886085,
72,2020,COAHUILA,Población total,Total,5 a 9 años,276224,982841,0.281046476,
73,2020,COLIMA,Población total,Total,5 a 9 años,60049,209402,0.286764214,
74,2020,CHIAPAS,Población total,Total,5 a 9 años,612792,2093426,0.292722074,
75,2020,CHIHUAHUA,Población total,Total,5 a 9 años,317322,1137537,0.278955322,
76,2020,CIUDAD DE MÉXICO,Población total,Total,5 a 9 años,563907,2033581,0.277297536,
77,2020,DURANGO,Población total,Total,5 a 9 años,176033,612346,0.287473095,
78,2020,GUANAJUATO,Población total,Total,5 a 9 años,547545,1965943,0.278515196,
79,2020,GUERRERO,Población total,Total,5 a 9 años,351010,1237843,0.283565848,
80,2020,HIDALGO,Población total,Total,5 a 9 años,269553,958875,0.281113805,
81,2020,JALISCO,Población total,Total,5 a 9 años,718100,2531145,0.283705596,
82,2020,MÉXICO,Población total,Total,5 a 9 años,1381132,5009259,0.275715829,
83,2020,MICHOACÁN,Población total,Total,5 a 9 años,441618,1544594,0.285912026,
84,2020,MORELOS,Población total,Total,5 a 9 años,158935,568743,0.279449593,
85,2020,NAYARIT,Población total,Total,5 a 9 años,113942,394457,0.288857848,
